id,GIS ObjectID,InfrastID,WBS,Code,Funding comment,Portfolio,Category,Subcategory,Project Name,Project Description,Project Priority,Funding Needed,address,From,To,LATITUDE,LONGITUDE,Quadrants,NE Quadrant,NW Quadrant,SE Quadrant,SW Quadrant,Quadrant Factor,Quadrant Funding Estimated,CD,CD 1,CD 2,CD 3,CD 4,CD 5,CD 6,CD 7,CD 8,CD 9,CD 10,CD 11,CD 12,CW,CD Funding Factor,CD Funding Estimated,NPU 1,NPU 2,NPU 3,NPU 4,NPU 5,Neighborhood 1,Neighborhood 2,Neighborhood 3,Neighborhood 4,Neighborhood 5,Neighborhood 6,Neighborhood 7,Neighborhood 8,Neighborhood 9,Neighborhood 10,Neighborhood 11,Corridor 1,Corridor 2,Corridor 3,Secondary Corridor 1,Secondary Corridor 2,Secondary Corridor 3,Regional Employment Center,Priority and Sub Cat,Comments,Added,dropped,FIELD69,FIELD70,FIELD71,FIELD72,FIELD73
129,,,,,2016-PROGRAM,Gradnja i rekonstrukcija nerazvrstanih cesta po gradskim cetvrtima,Nerazvrstane ceste,Nove obveze,"Okretiste autobusa u ulici Franje, ulica Siranovici-nogostup...","Okretiste autobusa u ulici Franje, ulica Siranovici-nogostup, Strmecka cesta-nogostup, Trpucanska cesta-nogostup, most na potoku Lomnica, ulica Aspergeri - nogostup, most preko kanala Sava-Odra, pjesacki most i autobusno stajaliste na Kraljeveckoj cesti, Donjodragonoska cesta - nogostup, Pekarska ulica - nogostup, ulica Mavracici - nogostup",,"100,000 kn",Ulica Franje,,,45.825416,16.028109,,,,,,,,,,,,,,,,,,,,,,1,"100,000.00",Tehnicka dokumentacija,TD,,,,Gradska cetvrt BREZOVICA,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,2016-PROGRAM,Gradnja i rekonstrukcija nerazvrstanih cesta po gradskim cetvrtima,Nerazvrstane ceste,Nove obveze,Gornjodragonoska cesta - nogostup,,,"2,100,000 kn",Gornjodragonoska cesta,,,45.807148,16.160176,,,,,,,,,,,,,,,,,,,,,,1,"2,100,000.00",Gradenje,G,,,,Gradska cetvrt BREZOVICA,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,2016-PROGRAM,Gradnja i rekonstrukcija nerazvrstanih cesta po gradskim cetvrtima,Nerazvrstane ceste,Nove obveze,Ulica Harabajsi - nogostup,,,"1,500,000 kn",Ulica Harabajsi,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"1,500,000.00",Gradenje,G,,,,Gradska cetvrt BREZOVICA,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,,2016-PROGRAM,Gradnja i rekonstrukcija nerazvrstanih cesta po gradskim cetvrtima,Nerazvrstane ceste,Nove obveze,Kraljevecki brijegi,,,"750,000 kn",Kraljevecki brijegi,,,45.817873,15.975996,,,,,,,,,,,,,,,,,,,,,,1,"750,000.00",Gradenje,G,,,,Gradska cetvrt BREZOVICA,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,2016-PROGRAM,Gradnja i rekonstrukcija nerazvrstanih cesta po gradskim cetvrtima,Nerazvrstane ceste,Nove obveze,Rekonstrukcija Zadvorske ulice,,,"3,000,000 kn",Zadvorska ulica,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"3,000,000.00",Gradenje,G,,,,Gradska cetvrt BREZOVICA,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,2016-PROGRAM,Gradnja oborinske odvodnje,Nerazvrstane ceste,Prenesene obveze iz prethodnog razdoblja,Izgradnja oborinske odvodnje u Zadvorskoj ulici,,,"2,700,000 kn",Zadvorska ulica,,,45.840573,15.990517,,,,,,,,,,,,,,,,,,,,,,1,"2,700,000.00",,,,,,OSTALO,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,2016-PROGRAM,Gradnja oborinske odvodnje,Nerazvrstane ceste,Prenesene obveze iz prethodnog razdoblja,Soblinecka-Varazdinska - nogostup s oborinskom odvodnjom,,,"1,600,000 kn",,Soblinecka,Varazdinska,45.862784,16.147085,,,,,,,,,,,,,,,,,,,,,,1,"1,600,000.00",,,,,,OSTALO,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,2016-PROGRAM,Gradnja oborinske odvodnje,Nerazvrstane ceste,Nove obveze,Izrada projektno-tehnicke dokumentacije,,,"100,000 kn",,,,,,,,,,,,,,,,,,,,,,,,,,,1,"100,000.00",,,,,,OSTALO,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,2016-PROGRAM,Gradnja oborinske odvodnje,Nerazvrstane ceste,Nove obveze,Izgradnja oborinske odvodnje u Glogoveckoj ulici,,,"900,000 kn",Glogovecka ulica,,,45.807148,16.160176,,,,,,,,,,,,,,,,,,,,,,1,"900,000.00",,,,,,OSTALO,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,,,2016-PROGRAM,Gradnja i rekonstrukcija ostalih objekata,Nerazvrstane ceste,Prenesene obveze iz prethodnog razdoblja,Premjestanje i zastita EE instalacija za potrebe izgradnje cesta i cestovnih objekata,,,"1,500,000 kn",,,,,,,,,,,,,,,,,,,,,,,,,,,1,"1,500,000.00",,,,,,OSTALO,,,,,,,,,,,,,,,,,,,,,,,,,,
